Ejercicio fiscal,Nombre de la Oficina,Tipo de Ocupacion,Calle,Numero,Colonia,Codigo Postal,Clave Municipio,Municipio,Clave Estado,Estado
2016,Oficina Federal de Pesca Matamoros,Oficina de Pesca,Avenida Rigo Tovar,2048,Zona Industrial Kilometro 1,87325,22,Matamoros,28,Tamaulipas
2016,Oficina Federal de Pesca Tampico,Oficina de Pesca,Avenida Heriberto Jara,1064,Morelos,89290,38,Tampico,28,Tamaulipas
2016,Oficina Federal de Pesca Ciudad Cuahutemoc,Oficina de Pesca,Abasolo y Masetas,Sin Numero,Centro,92030,133,Cd. Cuauhtemoc,30,Veracruz
2016,Oficina Federal de Pesca Coatzacoalcos,Oficina de Pesca,Cuervos  ,53,Santa Isabel Segunda Etapa,96536,39,Coatzacoalcos,30,Veracruz
2016,Oficina Federal de Pesca Panuco,Oficina de Pesca,Domicilio Conocido Carretera Panuco Tempoal Kilometro 2 ,Sin Numero,Rafael Hernandez de Ochoa,93995,123,Panuco,30,Veracruz
2016,Oficina Federal de Pesca La Laja,Oficina de Pesca,Domicilio Conocido,Sin Numero,Conocido,92090,121,Ozuluama,30,Veracruz
2016,Oficina Federal de Pesca Tecolutla,Oficina de Pesca,Vicente Guerrero esquina Alvaro Obregon,Sin Numero,Centro,93570,69,Gutierrez Zamora,30,Veracruz
2016,Oficina Federal de Pesca Progreso,Oficina de Pesca,Calle 29 Por Calle 74 Y 76,128 A,Centro,97720,59,Progreso,31,Yucatan
,,,,,,,,, , 
,,,,,,,,, , 
,,,,,,,,,,
, , ,,,,,,,,
 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
